Date,Open,High,Low,Close,Volume
2022-01-03 00:00:00,17387.15,17646.65,17383.3,17625.7,0
2022-01-04 00:00:00,17681.4,17827.59,17593.55,17805.25,0
2022-01-05 00:00:00,17820.09,17944.7,17748.84,17925.25,0
2022-01-06 00:00:00,17768.5,17797.95,17655.55,17745.9,0
2022-01-07 00:00:00,17797.59,17905,17704.55,17812.7,0
2022-01-10 00:00:00,17913.3,18017.45,17879.15,18003.3,0
2022-01-11 00:00:00,17997.75,18081.25,17964.4,18055.75,0
2022-01-12 00:00:00,18170.4,18227.95,18128.8,18212.34,0
2022-01-13 00:00:00,18257,18272.25,18163.8,18257.8,0
2022-01-14 00:00:00,18185,18286.95,18119.65,18255.75,0
2022-01-17 00:00:00,18235.65,18321.55,18228.75,18308.09,0
2022-01-18 00:00:00,18337.2,18350.95,18085.9,18113.05,0
2022-01-19 00:00:00,18129.2,18129.2,17884.9,17938.4,0
2022-01-20 00:00:00,17921,17943.7,17648.45,17757,0
2022-01-21 00:00:00,17613.7,17707.59,17485.84,17617.15,0
2022-01-24 00:00:00,17575.15,17599.4,16997.84,17149.09,0
2022-01-25 00:00:00,17001.55,17309.15,16836.8,17277.95,0
2022-01-27 00:00:00,17062,17182.5,16866.75,17110.15,0
2022-01-28 00:00:00,17208.3,17373.5,17077.09,17101.95,0
2022-01-31 00:00:00,17301.05,17410,17264.15,17339.84,0
2022-02-01 00:00:00,17529.45,17622.4,17244.55,17576.84,0
2022-02-02 00:00:00,17706.2,17794.59,17674.8,17780,0
2022-02-03 00:00:00,17767.75,17781.15,17511.15,17560.2,0
2022-02-04 00:00:00,17590.2,17617.8,17462.55,17516.3,0
2022-02-07 00:00:00,17456.3,17536.75,17119.4,17213.59,0
2022-02-08 00:00:00,17279.84,17306.45,17043.65,17266.75,0
2022-02-09 00:00:00,17370.09,17477.15,17339,17463.8,0
2022-02-10 00:00:00,17554.1,17639.45,17427.15,17605.85,0
2022-02-11 00:00:00,17451,17454.75,17303,17374.75,0
2022-02-14 00:00:00,17076.15,17099.5,16809.65,16842.8,0
2022-02-15 00:00:00,16933.25,17375,16839.25,17352.45,0
2022-02-16 00:00:00,17408.45,17490.6,17257.7,17322.2,0
2022-02-17 00:00:00,17396.55,17442.9,17235.85,17304.6,0
2022-02-18 00:00:00,17236.05,17380.8,17219.2,17276.3,0
2022-02-21 00:00:00,17192.25,17351.05,17070.7,17206.65,0
2022-02-22 00:00:00,16847.95,17148.55,16843.8,17092.2,0
2022-02-23 00:00:00,17194.5,17220.7,17027.85,17063.25,0
2022-02-24 00:00:00,16548.9,16705.25,16203.25,16247.95,0
2022-02-25 00:00:00,16515.65,16748.8,16478.3,16658.4,0
2022-02-28 00:00:00,16481.6,16815.9,16356.3,16793.9,0
2022-03-02 00:00:00,16593.1,16678.5,16478.65,16605.95,0
2022-03-03 00:00:00,16723.2,16768.95,16442.95,16498.05,0
2022-03-04 00:00:00,16339.45,16456,16133.8,16245.35,0
2022-03-07 00:00:00,15867.95,15944.6,15711.45,15863.15,0
2022-03-08 00:00:00,15747.75,16028.75,15671.45,16013.45,0
2022-03-09 00:00:00,16078,16418.05,15990,16345.35,0
2022-03-10 00:00:00,16757.1,16757.3,16447.9,16594.9,0
2022-03-11 00:00:00,16528.8,16694.4,16470.9,16630.45,0
2022-03-14 00:00:00,16633.7,16887.95,16606.5,16871.3,0
2022-03-15 00:00:00,16900.65,16927.75,16555,16663,0
2022-03-16 00:00:00,16876.65,16987.9,16837.85,16975.35,0
2022-03-17 00:00:00,17202.9,17344.6,17175.75,17287.05,0
2022-03-21 00:00:00,17329.5,17353.35,17096.4,17117.6,0
2022-03-22 00:00:00,17120.4,17334.4,17006.3,17315.5,0
2022-03-23 00:00:00,17405.05,17442.4,17199.6,17245.65,0
2022-03-24 00:00:00,17094.95,17291.75,17091.15,17222.75,0
2022-03-25 00:00:00,17289,17294.9,17076.55,17153,0
2022-03-28 00:00:00,17181.85,17235.1,17003.9,17222,0
2022-03-29 00:00:00,17297.2,17343.65,17235.7,17325.3,0
2022-03-30 00:00:00,17468.15,17522.5,17387.2,17498.25,0
2022-03-31 00:00:00,17519.2,17559.8,17435.2,17464.75,0
2022-04-01 00:00:00,17436.9,17703.7,17422.7,17670.45,0
2022-04-04 00:00:00,17809.1,18114.65,17791.4,18053.4,0
2022-04-05 00:00:00,18080.6,18095.45,17921.55,17957.4,0
2022-04-06 00:00:00,17842.75,17901,17779.85,17807.65,0
2022-04-07 00:00:00,17723.3,17787.5,17623.7,17639.55,0
2022-04-08 00:00:00,17698.15,17842.75,17600.55,17784.35,0
2022-04-11 00:00:00,17740.9,17779.05,17650.95,17674.95,0
2022-04-12 00:00:00,17584.85,17595.3,17442.35,17530.3,0
2022-04-13 00:00:00,17599.9,17663.65,17457.4,17475.65,0
2022-04-18 00:00:00,17183.45,17237.75,17067.85,17173.65,0
2022-04-19 00:00:00,17258.95,17275.65,16824.7,16958.65,0
